agent,chain,job_id,global_iter,loss,val,rew,abc,sr
alice,0,28339782,47,-0.0029,0.588,2.3999,,
alice,0,28340743,49,-0.0024,0.6197,2.7393,,
alice,0,28340864,50,-0.0028,0.7438,2.8894,,
alice,0,28341105,52,-0.0026,0.5947,2.8381,,
alice,0,28341272,54,-0.0025,0.6545,2.583,,
alice,0,28341615,56,-0.0024,0.6082,2.8088,,
alice,0,28343170,61,-0.0023,0.5981,2.7441,,
alice,0,28344665,65,-0.0025,0.7753,2.9626,,
alice,0,28344994,69,-0.0026,0.7088,2.76,,
alice,0,28345096,70,-0.0026,0.7353,2.8503,,
alice,1,28284078,0,-0.0026,0.5975,2.7466,,
alice,1,28289055,2,-0.0027,0.6185,2.6611,,
alice,1,28290646,3,-0.0029,0.6592,2.6917,,
alice,1,28291936,4,-0.0028,0.6699,2.7551,,
alice,1,28292985,6,-0.0025,0.5697,2.8101,,
alice,1,28293194,7,-0.0025,0.5161,2.3682,,
alice,1,28293355,8,-0.0027,0.616,2.7661,,
alice,1,28293995,11,-0.0023,0.627,2.5928,,
alice,1,28295268,12,-0.0027,0.6019,2.5989,,
alice,1,28304477,13,-0.0026,0.7833,3.0139,,
alice,1,28314397,15,-0.0027,0.5816,2.3718,,
alice,1,28315234,16,-0.0028,0.6628,2.5598,,
alice,1,28316857,18,-0.0029,0.7991,2.8943,,
alice,1,28317587,19,-0.0029,0.7162,2.7649,,
alice,1,28318662,20,-0.0029,0.7432,2.6868,,
alice,1,28320427,22,-0.0026,0.691,2.6685,,
alice,1,28321661,24,-0.0025,0.7105,3.0151,,
alice,1,28322248,25,-0.0026,0.739,2.8015,,
alice,1,28322779,26,-0.0028,0.6768,2.6929,,
alice,1,28323021,27,-0.0031,0.7117,2.5818,,
alice,1,28323407,28,-0.0026,0.6936,2.9175,,
alice,1,28332295,30,-0.0028,0.6198,2.4292,,
alice,1,28332669,31,-0.0027,0.6443,2.6758,,
alice,1,28333360,32,-0.0029,0.736,2.561,,
alice,1,28333546,33,-0.0025,0.7571,2.9175,,
alice,1,28334511,37,-0.0028,0.7008,2.6099,,
alice,1,28334649,38,-0.003,0.6923,2.5806,,
alice,1,28336643,40,-0.0025,0.7227,2.9993,,
alice,1,28336917,41,-0.0028,0.7496,2.7612,,
alice,1,28337172,42,-0.0026,0.7643,3.0188,,
alice,1,28337420,43,-0.0024,0.6033,2.7661,,
alice,1,28337736,44,-0.0026,0.6092,2.7075,,
alice,1,28338072,46,-0.0027,0.5678,2.6917,,
alice,1,28339722,47,-0.0025,0.5761,2.699,,
alice,1,28340304,48,-0.0029,0.6867,2.7881,,
alice,1,28340741,49,-0.0027,0.5579,2.4536,,
alice,1,28340862,50,-0.0029,0.6574,2.5366,,
alice,1,28341000,51,-0.0026,0.7397,2.8186,,
alice,1,28341386,55,-0.0025,0.6321,2.8406,,
alice,1,28341598,56,-0.0027,0.6476,2.926,,
alice,1,28342025,57,-0.0027,0.7272,2.8772,,
alice,1,28342567,58,-0.0025,0.6354,2.6672,,
alice,1,28342910,60,-0.0027,0.6124,2.6099,,
alice,1,28343183,61,-0.0025,0.6216,2.6978,,
alice,1,28344281,63,-0.0027,0.7906,2.8198,,
alice,1,28344596,64,-0.0026,0.6866,2.804,,
alice,1,28346331,70,-0.0026,0.6265,2.7075,,
bob,0,28284064,0,0.0682,0.0352,0.0007,-1.0086,0.0276
bob,0,28286579,1,0.0642,0.0568,0.0007,-1.0109,0.0506
bob,0,28289035,2,0.0711,0.0579,0.0006,-1.0085,0.0213
bob,0,28290602,3,0.0634,0.0621,0.0007,-1.0097,0.057
bob,0,28292643,5,0.0528,0.0604,0.0006,-1.0114,0.0311
bob,0,28293198,7,0.0654,0.0527,0.0007,-1.009,0.0545
bob,0,28293363,8,0.0484,0.0633,0.0007,-1.0107,0.0362
bob,0,28293762,10,0.0829,0.06,0.001,-1.0101,0.0769
bob,0,28294068,11,0.0404,0.0531,0.0006,-1.01,0.0667
bob,0,28306282,13,0.0624,0.048,0.0007,-1.0108,0.0593
bob,0,28310190,14,0.0813,0.063,0.0008,-1.0116,0.0345
bob,0,28314421,15,0.0914,0.042,0.0008,-1.0097,0.0179
bob,0,28315249,16,0.051,0.0654,0.0008,-1.0085,0.0616
bob,0,28315976,17,0.0827,0.0543,0.0009,-1.0092,0.0588
bob,0,28317633,19,0.0223,0.0613,0.0006,-1.0082,0.0613
bob,0,28318740,20,0.0436,0.0423,0.0006,-1.0096,0.0497
bob,0,28319721,21,0.0387,0.0585,0.0007,-1.0088,0.0654
bob,0,28320362,22,0.0774,0.0348,0.0008,-1.0092,0.0163
bob,0,28320969,23,0.0759,0.0773,0.0009,-1.0093,0.0816
bob,0,28321571,24,0.0722,0.0521,0.0008,-1.0102,0.0379
bob,0,28322181,25,0.0401,0.0473,0.0006,-1.0082,0.0435
bob,0,28322733,26,0.0663,0.0674,0.0007,-1.0096,0.0497
bob,0,28323002,27,0.0687,0.0493,0.0007,-1.0104,0.038
bob,0,28323586,29,0.0594,0.0422,0.0006,-1.0106,0.0349
bob,0,28332657,31,0.0683,0.0587,0.001,-1.0107,0.0755
bob,0,28333340,32,0.0685,0.0532,0.0007,-1.0105,0.0448
bob,0,28333558,33,0.0754,0.0467,0.0008,-1.0097,0.0485
bob,0,28333781,34,0.0843,0.0464,0.0008,-1.0099,0.0348
bob,0,28334356,36,0.0646,0.0459,0.0008,-1.0096,0.0826
bob,0,28334643,38,0.0644,0.0366,0.0008,-1.0115,0.04
bob,0,28336648,40,0.0793,0.0445,0.0007,-1.0109,0.0366
bob,0,28336912,41,0.0677,0.0602,0.0007,-1.0101,0.06
bob,0,28337169,42,0.054,0.0511,0.0009,-1.0094,0.0783
bob,0,28337412,43,0.0665,0.0709,0.0007,-1.0097,0.0625
bob,0,28337730,44,0.0743,0.0565,0.0007,-1.0107,0.0414
bob,0,28338068,46,0.0706,0.0652,0.0007,-1.0094,0.0315
bob,0,28339782,47,0.0613,0.0569,0.0006,-1.01,0.0361
bob,0,28340743,49,0.0385,0.0664,0.0008,-1.0089,0.0638
bob,0,28340864,50,0.0813,0.0352,0.0007,-1.0089,0.0216
bob,0,28341105,52,0.0642,0.042,0.0009,-1.0086,0.0708
bob,0,28341272,54,0.0772,0.0829,0.0009,-1.0112,0.1264
bob,0,28341615,56,0.0866,0.0445,0.0008,-1.0096,0.04
bob,0,28343170,61,0.0878,0.0402,0.0009,-1.01,0.0444
bob,0,28344665,65,0.0679,0.0484,0.0009,-1.0111,0.0541
bob,0,28344994,69,0.0754,0.0625,0.0008,-1.0107,0.053
bob,0,28345096,70,0.0627,0.0538,0.0008,-1.0105,0.0645
bob,1,28284078,0,0.0714,0.0564,0.0006,-1.011,0.024
bob,1,28289055,2,0.0547,0.0389,0.0006,-1.0082,0.0135
bob,1,28290646,3,0.057,0.0455,0.0006,-1.0116,0.0407
bob,1,28291936,4,0.062,0.0591,0.0008,-1.0081,0.065
bob,1,28292985,6,0.0666,0.0611,0.0007,-1.0105,0.0544
bob,1,28293194,7,0.0855,0.0663,0.0009,-1.0087,0.0769
bob,1,28293355,8,0.0726,0.0611,0.0008,-1.0103,0.0451
bob,1,28293995,11,0.0392,0.0655,0.0009,-1.0088,0.0909
bob,1,28295268,12,0.0662,0.0636,0.0007,-1.01,0.0563
bob,1,28304477,13,0.0878,0.0451,0.0008,-1.0103,0.0192
bob,1,28314397,15,0.055,0.0523,0.0007,-1.0098,0.0698
bob,1,28315234,16,0.0478,0.0607,0.0008,-1.01,0.0611
bob,1,28316857,18,0.07,0.0568,0.0007,-1.0095,0.0508
bob,1,28317587,19,0.0847,0.0424,0.0008,-1.0114,0.066
bob,1,28318662,20,0.094,0.0675,0.0008,-1.0108,0.0513
bob,1,28320427,22,0.0689,0.0467,0.0008,-1.0097,0.0427
bob,1,28321661,24,0.0836,0.038,0.0008,-1.0104,0.0294
bob,1,28322248,25,0.096,0.0615,0.0009,-1.0109,0.0682
bob,1,28322779,26,0.0728,0.0524,0.0007,-1.008,0.0376
bob,1,28323021,27,0.0641,0.0429,0.0006,-1.0093,0.037
bob,1,28323407,28,0.0522,0.0546,0.0008,-1.0094,0.06
bob,1,28332295,30,0.096,0.0336,0.0007,-1.0093,0.0153
bob,1,28332669,31,0.0692,0.0554,0.0007,-1.0104,0.047
bob,1,28333360,32,0.0718,0.0485,0.0007,-1.0092,0.0395
bob,1,28333546,33,0.0749,0.046,0.0008,-1.0087,0.0462
bob,1,28334511,37,0.0529,0.0487,0.0008,-1.0103,0.0458
bob,1,28334649,38,0.0425,0.0638,0.0007,-1.0103,0.0699
bob,1,28336643,40,0.0696,0.0572,0.0009,-1.0103,0.0545
bob,1,28336917,41,0.1036,0.044,0.0008,-1.0087,0.0163
bob,1,28337172,42,0.0776,0.0504,0.0008,-1.0091,0.0549
bob,1,28337420,43,0.0721,0.0738,0.0008,-1.0112,0.0737
bob,1,28337736,44,0.0588,0.0534,0.0006,-1.0093,0.0398
bob,1,28338072,46,0.0637,0.0501,0.0007,-1.0097,0.0726
bob,1,28339722,47,0.0822,0.0461,0.0009,-1.0099,0.0309
bob,1,28340304,48,0.0881,0.0325,0.0007,-1.0109,0.0123
bob,1,28340741,49,0.0512,0.0542,0.0006,-1.0081,0.0351
bob,1,28340862,50,0.1021,0.0559,0.0008,-1.0106,0.0286
bob,1,28341000,51,0.0874,0.0478,0.0009,-1.0103,0.0476
bob,1,28341386,55,0.0981,0.0441,0.0009,-1.0089,0.0446
bob,1,28341598,56,0.0755,0.0394,0.0008,-1.0089,0.0392
bob,1,28342025,57,0.1051,0.047,0.0009,-1.0096,0.0168
bob,1,28342567,58,0.0705,0.0699,0.0008,-1.0083,0.0826
bob,1,28342910,60,0.0795,0.0559,0.0008,-1.0112,0.0783
bob,1,28343183,61,0.0536,0.0565,0.0008,-1.0094,0.0541
bob,1,28344281,63,0.0917,0.0364,0.0008,-1.0092,0.0435
bob,1,28344596,64,0.0652,0.0613,0.0009,-1.0095,0.0759
bob,1,28346331,70,0.0771,0.049,0.0007,-1.0092,0.031
