=== TRAINING UPDATES SUMMARY (Chain 0) ===

--- Chain 0 (5 jobs) ---
  Iter  500 | [Alice] Loss=+0.0554  Val=0.8876  Rew=3.6992  Ent=0.0500  || [Bob]   Loss=-0.0047  Val=0.2787  Rew=0.0032  ABC=-1.0440  SR=0.1486
  Iter  505 | [Alice] Loss=+0.1375  Val=0.7008  Rew=2.4551  Ent=0.0500  || [Bob]   Loss=+0.0006  Val=0.2481  Rew=0.0029  ABC=-1.1001  SR=0.1861
  Iter  505 | [Alice] Loss=+0.1184  Val=0.8871  Rew=3.0684  Ent=0.0500  || [Bob]   Loss=+0.0010  Val=0.2673  Rew=0.0042  ABC=-1.0787  SR=0.2111
  Iter  505 | [Alice] Loss=+0.0943  Val=0.7461  Rew=2.2891  Ent=0.0500  || [Bob]   Loss=-0.0017  Val=0.2767  Rew=0.0032  ABC=-1.0661  SR=0.2358
  Iter  506 | [Alice] Loss=+0.1087  Val=0.7282  Rew=2.2168  Ent=0.0500  || [Bob]   Loss=+0.0010  Val=0.3247  Rew=0.0038  ABC=-1.0681  SR=0.2619
  Iter  506 | [Alice] Loss=+0.1071  Val=0.7032  Rew=2.2520  Ent=0.0500  || [Bob]   Loss=+0.0000  Val=0.3381  Rew=0.0042  ABC=-1.0820  SR=0.2635
  Iter  506 | [Alice] Loss=+0.1245  Val=0.6588  Rew=1.9551  Ent=0.0500  || [Bob]   Loss=+0.0017  Val=0.2884  Rew=0.0027  ABC=-1.1138  SR=0.2162
  Iter  506 | [Alice] Loss=+0.1234  Val=0.8643  Rew=3.2344  Ent=0.0500  || [Bob]   Loss=+0.0005  Val=0.2709  Rew=0.0043  ABC=-1.0902  SR=0.2222
  Iter  506 | [Alice] Loss=+0.1036  Val=0.6996  Rew=2.1836  Ent=0.0500  || [Bob]   Loss=+0.0045  Val=0.3448  Rew=0.0039  ABC=-1.0636  SR=0.2548
  Iter  507 | [Alice] Loss=+0.1204  Val=0.8332  Rew=2.8711  Ent=0.0500  || [Bob]   Loss=+0.0034  Val=0.2816  Rew=0.0039  ABC=-1.0718  SR=0.2323
  Iter  507 | [Alice] Loss=+0.1078  Val=0.7204  Rew=2.2988  Ent=0.0500  || [Bob]   Loss=-0.0020  Val=0.3899  Rew=0.0054  ABC=-1.0883  SR=0.3208
  Iter  507 | [Alice] Loss=+0.1957  Val=0.7192  Rew=2.3242  Ent=0.0500  || [Bob]   Loss=-0.0035  Val=0.2946  Rew=0.0038  ABC=-1.1304  SR=0.2491
  Iter  507 | [Alice] Loss=+0.1243  Val=0.8489  Rew=3.0938  Ent=0.0500  || [Bob]   Loss=+0.0008  Val=0.2361  Rew=0.0029  ABC=-1.1043  SR=0.1699
  Iter  507 | [Alice] Loss=+0.1257  Val=0.6203  Rew=1.8555  Ent=0.0500  || [Bob]   Loss=-0.0080  Val=0.3313  Rew=0.0031  ABC=-1.0677  SR=0.2477
  Iter  508 | [Alice] Loss=+0.1485  Val=0.8739  Rew=3.1641  Ent=0.0500  || [Bob]   Loss=+0.0091  Val=0.2907  Rew=0.0050  ABC=-1.0844  SR=0.2444
  Iter  508 | [Alice] Loss=+0.1191  Val=0.6642  Rew=2.1406  Ent=0.0500  || [Bob]   Loss=-0.0062  Val=0.3420  Rew=0.0039  ABC=-1.0945  SR=0.2746
  Iter  508 | [Alice] Loss=+0.1458  Val=0.6723  Rew=2.3359  Ent=0.0500  || [Bob]   Loss=+0.0076  Val=0.2783  Rew=0.0036  ABC=-1.1294  SR=0.2577
  Iter  508 | [Alice] Loss=+0.1501  Val=0.8206  Rew=2.8848  Ent=0.0500  || [Bob]   Loss=+0.0042  Val=0.2676  Rew=0.0038  ABC=-1.0915  SR=0.2090
  Iter  508 | [Alice] Loss=+0.1153  Val=0.8198  Rew=2.4492  Ent=0.0500  || [Bob]   Loss=+0.0077  Val=0.3798  Rew=0.0060  ABC=-1.0660  SR=0.3480
  Iter  509 | [Alice] Loss=+0.1675  Val=0.8848  Rew=2.9883  Ent=0.0500  || [Bob]   Loss=-0.0004  Val=0.2725  Rew=0.0040  ABC=-1.0921  SR=0.2271
  Iter  509 | [Alice] Loss=+0.1212  Val=0.7691  Rew=2.6797  Ent=0.0500  || [Bob]   Loss=-0.0027  Val=0.2808  Rew=0.0041  ABC=-1.1036  SR=0.2449
  Iter  509 | [Alice] Loss=+0.1791  Val=0.7723  Rew=2.4434  Ent=0.0500  || [Bob]   Loss=+0.0067  Val=0.3412  Rew=0.0043  ABC=-1.1294  SR=0.2622
  Iter  509 | [Alice] Loss=+0.1348  Val=0.8703  Rew=2.6797  Ent=0.0500  || [Bob]   Loss=-0.0023  Val=0.3421  Rew=0.0042  ABC=-1.0906  SR=0.2253
  Iter  509 | [Alice] Loss=+0.1072  Val=0.7719  Rew=2.4180  Ent=0.0500  || [Bob]   Loss=-0.0081  Val=0.3434  Rew=0.0045  ABC=-1.0810  SR=0.2796
  Iter  510 | [Alice] Loss=+0.1108  Val=0.8758  Rew=3.0273  Ent=0.0500  || [Bob]   Loss=-0.0000  Val=0.3127  Rew=0.0041  ABC=-1.0987  SR=0.2156
  Iter  510 | [Alice] Loss=+0.1527  Val=0.5729  Rew=1.8496  Ent=0.0500  || [Bob]   Loss=-0.0003  Val=0.4032  Rew=0.0050  ABC=-1.1052  SR=0.3385
  Iter  510 | [Alice] Loss=+0.1313  Val=0.6146  Rew=2.1406  Ent=0.0500  || [Bob]   Loss=-0.0047  Val=0.3790  Rew=0.0034  ABC=-1.1337  SR=0.2410
  Iter  510 | [Alice] Loss=+0.1293  Val=0.8223  Rew=2.6934  Ent=0.0500  || [Bob]   Loss=-0.0008  Val=0.3228  Rew=0.0046  ABC=-1.1107  SR=0.2581
  Iter  510 | [Alice] Loss=+0.0940  Val=0.8600  Rew=2.8223  Ent=0.0500  || [Bob]   Loss=-0.0060  Val=0.3049  Rew=0.0040  ABC=-1.0906  SR=0.2318
  Iter  511 | [Alice] Loss=+0.1311  Val=0.8385  Rew=2.9551  Ent=0.0500  || [Bob]   Loss=+0.0006  Val=0.3284  Rew=0.0046  ABC=-1.0940  SR=0.2405
  Iter  511 | [Alice] Loss=+0.1109  Val=0.7069  Rew=2.2832  Ent=0.0500  || [Bob]   Loss=-0.0079  Val=0.4101  Rew=0.0055  ABC=-1.0818  SR=0.3623
  Iter  511 | [Alice] Loss=+0.1355  Val=0.6541  Rew=2.1738  Ent=0.0500  || [Bob]   Loss=-0.0135  Val=0.4029  Rew=0.0041  ABC=-1.1444  SR=0.2713
  Iter  511 | [Alice] Loss=+0.1748  Val=0.7556  Rew=2.5117  Ent=0.0500  || [Bob]   Loss=-0.0018  Val=0.3159  Rew=0.0042  ABC=-1.1038  SR=0.2509
  Iter  511 | [Alice] Loss=+0.0958  Val=0.8109  Rew=2.7852  Ent=0.0500  || [Bob]   Loss=+0.0117  Val=0.2886  Rew=0.0042  ABC=-1.0886  SR=0.2284
  Iter  512 | [Alice] Loss=+0.0926  Val=0.8191  Rew=2.8027  Ent=0.0500  || [Bob]   Loss=+0.0025  Val=0.3214  Rew=0.0050  ABC=-1.1008  SR=0.2697
  Iter  512 | [Alice] Loss=+0.1458  Val=0.6002  Rew=2.0449  Ent=0.0500  || [Bob]   Loss=-0.0094  Val=0.4280  Rew=0.0047  ABC=-1.0951  SR=0.2985
  Iter  512 | [Alice] Loss=+0.2804  Val=0.7280  Rew=2.4707  Ent=0.0500  || [Bob]   Loss=+0.0009  Val=0.3847  Rew=0.0034  ABC=-1.1349  SR=0.2278
  Iter  512 | [Alice] Loss=+0.1288  Val=0.7572  Rew=2.6094  Ent=0.0500  || [Bob]   Loss=+0.0040  Val=0.3392  Rew=0.0046  ABC=-1.0994  SR=0.2638
  Iter  512 | [Alice] Loss=+0.0905  Val=0.7096  Rew=2.1680  Ent=0.0500  || [Bob]   Loss=+0.0110  Val=0.4285  Rew=0.0056  ABC=-1.0933  SR=0.3497
  Iter  513 | [Alice] Loss=+0.0978  Val=0.8575  Rew=3.0234  Ent=0.0500  || [Bob]   Loss=+0.0004  Val=0.3471  Rew=0.0053  ABC=-1.0912  SR=0.2800
  Iter  513 | [Alice] Loss=+0.0758  Val=0.7114  Rew=2.4961  Ent=0.0500  || [Bob]   Loss=+0.0045  Val=0.4449  Rew=0.0062  ABC=-1.0798  SR=0.3408
  Iter  513 | [Alice] Loss=+0.1572  Val=0.6216  Rew=2.1660  Ent=0.0500  || [Bob]   Loss=-0.0086  Val=0.3854  Rew=0.0035  ABC=-1.1162  SR=0.2403
  Iter  513 | [Alice] Loss=+0.1277  Val=0.6490  Rew=2.2305  Ent=0.0500  || [Bob]   Loss=+0.0030  Val=0.3562  Rew=0.0036  ABC=-1.1224  SR=0.2490
  Iter  513 | [Alice] Loss=+0.0971  Val=0.8775  Rew=2.9805  Ent=0.0500  || [Bob]   Loss=+0.0069  Val=0.3405  Rew=0.0047  ABC=-1.1069  SR=0.2638
  Iter  514 | [Alice] Loss=+0.1135  Val=0.7935  Rew=2.7324  Ent=0.0500  || [Bob]   Loss=+0.0039  Val=0.3404  Rew=0.0049  ABC=-1.1029  SR=0.2583
  Iter  514 | [Alice] Loss=+0.0707  Val=0.7057  Rew=2.4141  Ent=0.0500  || [Bob]   Loss=+0.0093  Val=0.3549  Rew=0.0039  ABC=-1.0680  SR=0.2707
  Iter  514 | [Alice] Loss=+0.2344  Val=0.6313  Rew=2.0898  Ent=0.0500  || [Bob]   Loss=-0.0106  Val=0.3545  Rew=0.0034  ABC=-1.1414  SR=0.2521
  Iter  514 | [Alice] Loss=+0.1140  Val=0.5050  Rew=1.7129  Ent=0.0500  || [Bob]   Loss=+0.0001  Val=0.3820  Rew=0.0032  ABC=-1.1179  SR=0.2682
  Iter  514 | [Alice] Loss=+0.1117  Val=0.7743  Rew=2.6230  Ent=0.0500  || [Bob]   Loss=+0.0066  Val=0.3078  Rew=0.0041  ABC=-1.1174  SR=0.2387
  Iter  515 | [Alice] Loss=+0.0947  Val=0.8697  Rew=3.0430  Ent=0.0500  || [Bob]   Loss=+0.0055  Val=0.3131  Rew=0.0043  ABC=-1.1015  SR=0.2438
  Iter  515 | [Alice] Loss=+0.0773  Val=0.7102  Rew=2.5195  Ent=0.0500  || [Bob]   Loss=+0.0066  Val=0.3328  Rew=0.0042  ABC=-1.0948  SR=0.2589
  Iter  515 | [Alice] Loss=+0.1264  Val=0.2933  Rew=0.9180  Ent=0.0500  || [Bob]   Loss=-0.0002  Val=0.4649  Rew=0.0027  ABC=0.0000  SR=0.3013
  Iter  515 | [Alice] Loss=+0.1193  Val=0.3260  Rew=0.9629  Ent=0.0500  || [Bob]   Loss=+0.0157  Val=0.4219  Rew=0.0023  ABC=0.0000  SR=0.2817
  Iter  515 | [Alice] Loss=+0.1279  Val=0.6970  Rew=2.4609  Ent=0.0500  || [Bob]   Loss=-0.0061  Val=0.3471  Rew=0.0039  ABC=-1.1300  SR=0.2329
  Iter  516 | [Alice] Loss=+0.1180  Val=0.7238  Rew=2.5195  Ent=0.0500  || [Bob]   Loss=+0.0073  Val=0.3571  Rew=0.0038  ABC=-1.1088  SR=0.2161
  Iter  516 | [Alice] Loss=+0.1205  Val=0.7166  Rew=2.4648  Ent=0.0500  || [Bob]   Loss=-0.0025  Val=0.2680  Rew=0.0037  ABC=-1.1106  SR=0.2400
  Iter  516 | [Alice] Loss=+0.0766  Val=0.3020  Rew=1.0859  Ent=0.0500  || [Bob]   Loss=-0.0094  Val=0.3848  Rew=0.0022  ABC=-1.0614  SR=0.3154
  Iter  516 | [Alice] Loss=+0.1613  Val=0.2639  Rew=0.9082  Ent=0.0500  || [Bob]   Loss=+0.0165  Val=0.3818  Rew=0.0021  ABC=0.0000  SR=0.3065
  Iter  516 | [Alice] Loss=+0.1251  Val=0.6932  Rew=2.2070  Ent=0.0500  || [Bob]   Loss=+0.0174  Val=0.3514  Rew=0.0043  ABC=-1.1334  SR=0.2895
  Iter  517 | [Alice] Loss=+0.1263  Val=0.5692  Rew=2.0664  Ent=0.0500  || [Bob]   Loss=+0.0177  Val=0.3252  Rew=0.0036  ABC=-1.1306  SR=0.2634
  Iter  517 | [Alice] Loss=+0.0847  Val=0.6438  Rew=2.1113  Ent=0.0500  || [Bob]   Loss=+0.0129  Val=0.3765  Rew=0.0051  ABC=-1.1273  SR=0.3193
  Iter  517 | [Alice] Loss=+0.0758  Val=0.3338  Rew=1.2695  Ent=0.0500  || [Bob]   Loss=+0.0006  Val=0.4310  Rew=0.0026  ABC=-1.0783  SR=0.3151
  Iter  517 | [Alice] Loss=+0.1661  Val=0.2951  Rew=1.0938  Ent=0.0500  || [Bob]   Loss=+0.0126  Val=0.4470  Rew=0.0026  ABC=-1.1316  SR=0.3643
  Iter  517 | [Alice] Loss=+0.1789  Val=0.6688  Rew=2.1348  Ent=0.0500  || [Bob]   Loss=+0.0090  Val=0.3156  Rew=0.0032  ABC=-1.1382  SR=0.2490
  Iter  518 | [Alice] Loss=+0.1656  Val=0.4994  Rew=1.7246  Ent=0.0500  || [Bob]   Loss=-0.0003  Val=0.3083  Rew=0.0019  ABC=-1.1200  SR=0.2000
  Iter  518 | [Alice] Loss=+0.0944  Val=0.6007  Rew=2.2988  Ent=0.0500  || [Bob]   Loss=+0.0148  Val=0.4219  Rew=0.0053  ABC=-1.1034  SR=0.3242
  Iter  518 | [Alice] Loss=+0.0800  Val=0.3269  Rew=1.3496  Ent=0.0500  || [Bob]   Loss=-0.0095  Val=0.3714  Rew=0.0023  ABC=-1.0738  SR=0.2774
  Iter  518 | [Alice] Loss=+0.1209  Val=0.6361  Rew=2.1582  Ent=0.0500  || [Bob]   Loss=-0.0006  Val=0.4724  Rew=0.0057  ABC=-1.1080  SR=0.3911
  Iter  518 | [Alice] Loss=+0.1618  Val=0.6847  Rew=2.3535  Ent=0.0500  || [Bob]   Loss=+0.0151  Val=0.2916  Rew=0.0026  ABC=-1.1365  SR=0.2103
  Iter  519 | [Alice] Loss=+0.2021  Val=0.5213  Rew=1.9941  Ent=0.0500  || [Bob]   Loss=+0.0110  Val=0.3364  Rew=0.0038  ABC=-1.1461  SR=0.3102
  Iter  519 | [Alice] Loss=+0.1166  Val=0.5672  Rew=2.0430  Ent=0.0500  || [Bob]   Loss=+0.0167  Val=0.3188  Rew=0.0033  ABC=-1.1129  SR=0.2478
  Iter  519 | [Alice] Loss=+0.0721  Val=0.8169  Rew=2.9355  Ent=0.0500  || [Bob]   Loss=+0.0049  Val=0.3237  Rew=0.0047  ABC=-1.0961  SR=0.2877
  Iter  519 | [Alice] Loss=+0.0914  Val=0.6862  Rew=2.4629  Ent=0.0500  || [Bob]   Loss=+0.0081  Val=0.3978  Rew=0.0054  ABC=-1.0975  SR=0.3221
  Iter  519 | [Alice] Loss=+0.1397  Val=0.4083  Rew=1.5059  Ent=0.0500  || [Bob]   Loss=+0.0155  Val=0.3162  Rew=0.0022  ABC=-1.1400  SR=0.2028
  Iter  520 | [Alice] Loss=+0.2228  Val=0.7800  Rew=2.8984  Ent=0.0500  || [Bob]   Loss=+0.0055  Val=0.3621  Rew=0.0034  ABC=-1.1190  SR=0.2295
  Iter  520 | [Alice] Loss=+0.1460  Val=0.5316  Rew=2.2129  Ent=0.0500  || [Bob]   Loss=+0.0088  Val=0.3109  Rew=0.0030  ABC=-1.1250  SR=0.2283
  Iter  520 | [Alice] Loss=+0.0913  Val=0.8521  Rew=2.8887  Ent=0.0500  || [Bob]   Loss=+0.0020  Val=0.3381  Rew=0.0048  ABC=-1.0799  SR=0.2576
  Iter  520 | [Alice] Loss=+0.0802  Val=0.4045  Rew=1.4746  Ent=0.0500  || [Bob]   Loss=+0.0013  Val=0.3809  Rew=0.0029  ABC=-1.1053  SR=0.2414
  Iter  520 | [Alice] Loss=+0.2659  Val=0.4477  Rew=1.7480  Ent=0.0500  || [Bob]   Loss=+0.0162  Val=0.3037  Rew=0.0020  ABC=-1.1391  SR=0.2350
  Iter  521 | [Alice] Loss=+0.1807  Val=0.8512  Rew=2.9863  Ent=0.0500  || [Bob]   Loss=+0.0113  Val=0.3002  Rew=0.0040  ABC=-1.1309  SR=0.2500
  Iter  521 | [Alice] Loss=+0.1368  Val=0.6992  Rew=2.4258  Ent=0.0500  || [Bob]   Loss=+0.0114  Val=0.2988  Rew=0.0032  ABC=-1.1269  SR=0.2531
  Iter  521 | [Alice] Loss=+0.1246  Val=0.6820  Rew=2.3828  Ent=0.0500  || [Bob]   Loss=+0.0038  Val=0.3930  Rew=0.0042  ABC=-1.0955  SR=0.2688
  Iter  521 | [Alice] Loss=+0.0848  Val=0.4700  Rew=1.7949  Ent=0.0500  || [Bob]   Loss=+0.0048  Val=0.3995  Rew=0.0033  ABC=-1.0886  SR=0.2927
  Iter  521 | [Alice] Loss=+0.2287  Val=0.3018  Rew=1.2051  Ent=0.0500  || [Bob]   Loss=+0.0035  Val=0.2892  Rew=0.0013  ABC=-1.1510  SR=0.1793
  Iter  522 | [Alice] Loss=+0.1784  Val=0.8498  Rew=3.0488  Ent=0.0500  || [Bob]   Loss=+0.0158  Val=0.1714  Rew=0.0019  ABC=-1.1170  SR=0.1242
  Iter  522 | [Alice] Loss=+0.1267  Val=0.8346  Rew=2.7812  Ent=0.0500  || [Bob]   Loss=+0.0176  Val=0.3070  Rew=0.0042  ABC=-1.1212  SR=0.2492
  Iter  522 | [Alice] Loss=+0.1246  Val=0.5396  Rew=2.2148  Ent=0.0500  || [Bob]   Loss=+0.0013  Val=0.2677  Rew=0.0023  ABC=-1.1116  SR=0.1654
  Iter  522 | [Alice] Loss=+0.1185  Val=0.4835  Rew=1.9609  Ent=0.0500  || [Bob]   Loss=-0.0111  Val=0.3308  Rew=0.0024  ABC=-1.1225  SR=0.2110
  Iter  522 | [Alice] Loss=+0.1434  Val=0.1835  Rew=0.7910  Ent=0.0500  || [Bob]   Loss=+0.0026  Val=0.1822  Rew=0.0006  ABC=0.0000  SR=0.1170
  Iter  523 | [Alice] Loss=+0.1362  Val=0.6440  Rew=2.3145  Ent=0.0500  || [Bob]   Loss=+0.0143  Val=0.2249  Rew=0.0022  ABC=-1.1127  SR=0.1498
  Iter  523 | [Alice] Loss=+0.1170  Val=0.8029  Rew=2.9238  Ent=0.0500  || [Bob]   Loss=+0.0184  Val=0.3086  Rew=0.0043  ABC=-1.1186  SR=0.2416
  Iter  523 | [Alice] Loss=+0.1360  Val=0.3986  Rew=1.4863  Ent=0.0500  || [Bob]   Loss=+0.0002  Val=0.3502  Rew=0.0026  ABC=-1.1249  SR=0.2500
  Iter  523 | [Alice] Loss=+0.1218  Val=0.4199  Rew=1.7344  Ent=0.0500  || [Bob]   Loss=+0.0121  Val=0.3392  Rew=0.0034  ABC=-1.1150  SR=0.2791
  Iter  523 | [Alice] Loss=+0.1399  Val=0.2102  Rew=0.9219  Ent=0.0500  || [Bob]   Loss=+0.0008  Val=0.2665  Rew=0.0009  ABC=0.0000  SR=0.2065
  Iter  524 | [Alice] Loss=+0.1816  Val=0.6878  Rew=2.4766  Ent=0.0500  || [Bob]   Loss=+0.0154  Val=0.2207  Rew=0.0029  ABC=-1.1208  SR=0.2015
  Iter  524 | [Alice] Loss=+0.1723  Val=0.6602  Rew=2.3359  Ent=0.0500  || [Bob]   Loss=+0.0122  Val=0.2975  Rew=0.0034  ABC=-1.1162  SR=0.2333
  Iter  524 | [Alice] Loss=+0.1712  Val=0.3664  Rew=1.4238  Ent=0.0500  || [Bob]   Loss=+0.0047  Val=0.3630  Rew=0.0025  ABC=-1.1286  SR=0.2604
  Iter  524 | [Alice] Loss=+0.1268  Val=0.3749  Rew=1.7168  Ent=0.0500  || [Bob]   Loss=+0.0187  Val=0.3187  Rew=0.0032  ABC=-1.1300  SR=0.2723
  Iter  524 | [Alice] Loss=+0.1830  Val=0.2296  Rew=1.1504  Ent=0.0500  || [Bob]   Loss=+0.0145  Val=0.1833  Rew=0.0008  ABC=-1.1586  SR=0.1638
  Iter  525 | [Alice] Loss=+0.1725  Val=0.7747  Rew=2.7461  Ent=0.0500  || [Bob]   Loss=+0.0128  Val=0.2068  Rew=0.0023  ABC=-1.1205  SR=0.1739
  Iter  525 | [Alice] Loss=+0.1375  Val=0.7718  Rew=2.6406  Ent=0.0500  || [Bob]   Loss=+0.0114  Val=0.2652  Rew=0.0033  ABC=-1.0946  SR=0.2203
  Iter  525 | [Alice] Loss=+0.0792  Val=0.7860  Rew=2.7754  Ent=0.0500  || [Bob]   Loss=+0.0114  Val=0.3093  Rew=0.0041  ABC=-1.0897  SR=0.2803
  Iter  525 | [Alice] Loss=+0.1645  Val=0.3308  Rew=1.4102  Ent=0.0500  || [Bob]   Loss=+0.0086  Val=0.3349  Rew=0.0028  ABC=-1.1349  SR=0.2938
  Iter  525 | [Alice] Loss=+1.0339  Val=0.4522  Rew=2.1270  Ent=0.0500  || [Bob]   Loss=+0.0003  Val=0.1851  Rew=0.0014  ABC=-1.1481  SR=0.1951
  Iter  526 | [Alice] Loss=+0.1773  Val=0.8655  Rew=2.9941  Ent=0.0500  || [Bob]   Loss=+0.0135  Val=0.2141  Rew=0.0030  ABC=-1.1108  SR=0.1924
  Iter  526 | [Alice] Loss=+0.1393  Val=0.7559  Rew=2.9023  Ent=0.0500  || [Bob]   Loss=+0.0169  Val=0.2150  Rew=0.0019  ABC=-1.1067  SR=0.1324
  Iter  526 | [Alice] Loss=+0.0657  Val=0.7782  Rew=2.6914  Ent=0.0500  || [Bob]   Loss=+0.0076  Val=0.3052  Rew=0.0045  ABC=-1.0741  SR=0.2654
  Iter  526 | [Alice] Loss=+0.1496  Val=0.3317  Rew=1.4023  Ent=0.0500  || [Bob]   Loss=+0.0124  Val=0.3625  Rew=0.0028  ABC=-1.1385  SR=0.2982
  Iter  526 | [Alice] Loss=+0.1371  Val=0.3376  Rew=1.3789  Ent=0.0500  || [Bob]   Loss=+0.0110  Val=0.1478  Rew=0.0009  ABC=-1.1494  SR=0.1370
  Iter  527 | [Alice] Loss=+0.1131  Val=0.8533  Rew=2.9785  Ent=0.0500  || [Bob]   Loss=+0.0137  Val=0.2237  Rew=0.0024  ABC=-1.0969  SR=0.1438
